quarter,UNEMP,GDP,RGDP
2000Q1,13.62102048345491,2.184532604105016,1.162061821589077
2000Q2,0.0,4.176030407158578,0.9157846452289959
2000Q3,-13.62102048345491,4.59358002426643,0.9855220293259208
2000Q4,0.0,2.496183390588158,0.8473544588059667
2001Q1,5.429308236666259,2.03713256179617,0.6126314225864462
2001Q2,0.0,1.684815814601279,0.4984600337538723
2001Q3,6.301296782873408,1.832726014449918,0.2653954575634998
2001Q4,0.0,3.228197393982327,0.7663787065202996
2002Q1,5.567300242624128,6.49257786164344,1.080154299576861
2002Q2,0.0,3.837123398602444,1.260876620499403
2002Q3,-4.05211974056391,3.168533985946169,1.125472228102808
2002Q4,0.0,2.788604749060141,0.8285466817173983
2003Q1,9.667630023536844,1.891529397313661,0.6327561786940805
2003Q2,0.0,1.724771872719657,0.4871808223001608
2003Q3,-3.119837085586141,1.597847839478391,0.5412233329152514
2003Q4,0.0,2.132441731486097,0.5752734061884439
2004Q1,-7.302513501488988,3.578787460598051,1.502438281754166
2004Q2,0.0,2.634035432781047,1.387775617747366
2004Q3,-13.78697942231207,2.379020588525236,1.621893862175284
2004Q4,0.0,2.899340654112393,1.062268006022578
2005Q1,5.085841723349063,2.182821891678941,1.011467124580577
2005Q2,0.0,3.145259216274098,1.778641938247119
2005Q3,-2.935221201252716,2.610159463361697,1.354404928562872
2005Q4,0.0,2.845472469050947,0.6671258210988071
2006Q1,-1.716780362236591,1.506487603394362,1.741908727483633
2006Q2,0.0,4.037146622785258,1.410252650734037
2006Q3,-4.425500900404074,3.91147852318295,1.371701980339139
2006Q4,0.0,2.392698147188185,1.373344232895988
2007Q1,6.566910350785804,5.119880254684176,1.610631418931234
2007Q2,0.0,1.612188528710021,0.8162178546936047
2007Q3,-11.6724274308142,2.348619053506582,1.165121207523043
2007Q4,0.0,3.671644488701986,1.407133008380924
2008Q1,9.962984094884177,3.578058789152465,0.4191257100530947
2008Q2,-2.620237239402456,1.848976346688687,1.213494424565852
2008Q3,0.8810629682155309,2.837297752487075,0.2386483561131172
2008Q4,-5.870760082677862,0.02217645138330226,-0.570874917055562
2009Q1,6.74412807955332,2.522182026141536,-1.567768109662666
2009Q2,0.865806274311467,1.215304405877987,-0.3438016928819252
2009Q3,5.452083887841695,2.406797336613181,0.231638708238961
2009Q4,-1.646127705407253,0.9078016204312007,0.6647572636104542
2010Q1,4.06560056411297,3.036785836489344,1.159971154086179
2010Q2,0.0,3.663575914004014,0.8359085078939188
2010Q3,1.188132788675205,0.8332523702363233,0.8863069791161706
2010Q4,-6.087071508702593,2.163861208622393,0.9264762664136015
2011Q1,3.696519423347183,2.175833442867543,0.979984123817303
2011Q2,3.174869831458011,2.319180903939696,0.5581111722165133
2011Q3,-2.371652661731616,2.31651222158348,0.412917437816759
2011Q4,-4.919024419077175,1.920442068302009,0.6817569818881566
2012Q1,4.919024419077175,1.275623705391354,0.5652427440354586
2012Q2,-0.8032171697263948,2.036575553858711,0.8312688859525679
2012Q3,1.60003413464409,1.197374956955855,0.405734206692614
2012Q4,-2.817087696669603,1.526906113986797,0.4758090313493994
2013Q1,2.020270731751907,2.951449521443237,0.7730291323157417
2013Q2,1.192857086527397,2.097317971116127,0.724745944446795
2013Q3,-3.213127818279304,1.709785350257562,0.473337585008494
2013Q4,-1.646127705407253,1.97933683488327,0.5369080947359635
2014Q1,4.463215402076855,1.738019146666147,-0.1380301688163854
2014Q2,1.183445764700252,0.9752916685320088,0.3938898343631081
2014Q3,-0.3929278139889334,1.907893984986913,0.4794281605229571
2014Q4,-4.427282367798796,1.41255734115407,0.7459862291466379
2015Q1,8.288765980576784,2.250132286287908,0.7197557138597404
2015Q2,-5.448818528407003,1.428782455866667,-0.8478467125751195
2015Q3,1.980262729617948,1.304569856642274,0.4494126359672919
2015Q4,-4.000533461369855,1.913838943051132,0.4325294268985544
2016Q1,8.599044785552223,2.738778210901728,0.2385799286048496
2016Q2,-0.3752349618550284,2.066325048729368,0.09616759624327642
2016Q3,1.862251209800149,0.9411358609424951,-0.01218384402613992
2016Q4,-2.23889948934783,0.7374655598823665,0.08487753111717211
2017Q1,4.42876802011159,2.36685299599435,0.4710146847712622
2017Q2,0.0,1.639247574343017,0.5438215148276413
2017Q3,0.0,1.975183993031123,0.1837270993407856
2017Q4,-3.676884778708882,1.390752970784433,0.3925894569404136
2018Q1,0.0,0.4161402998015546,0.5276300987557079
2018Q2,1.855340789574768,1.463017983025111,-0.2489653783725316
2018Q3,1.096903137057438,2.427531997338519,1.22232015362124
2018Q4,-1.465227678687086,1.164833542204633,0.2771106189259172
2019Q1,1.828204483744969,-0.4413466942605737,-0.8772712770200997
2019Q2,4.94800572633693,2.387951548728324,0.4511914082368094
2019Q3,0.3442344190972904,1.395273153995731,0.1050532864742308
2019Q4,0.0,1.090381346488357,-0.03621853636786909
2020Q1,3.378699757738275,1.237479932644419,-0.04021693988556763
2020Q2,-25.6071811183175,-18.20366267610757,-18.44348019851464
2020Q3,27.90613294078742,14.94181274900529,12.88890057200979
2020Q4,5.372539935616317,5.676121093389838,2.718288882861088
2021Q1,0.3072199036969891,1.5217097854852,0.5958000399573393
2021Q2,5.374427600669094,3.757444689694921,1.425085084609009
2021Q3,1.443026482902894,-1.186351471460739,-1.716795990064156
2021Q4,1.139613473086911,2.174952801421114,1.593006721991514
2022Q1,-2.292363990193678,2.074281303393263,1.294987994580197
2022Q2,-1.75443096509099,2.437328268819101,-0.9421437649600648
2022Q3,-2.994235661507844,2.055516082046779,1.928977091491561
2022Q4,-0.6097579868117577,-0.5660206663462759,-1.406612444121947
2023Q1,0.6097579868117577,2.734595294596147,0.6284063574476022
2023Q2,-0.9160369398663875,0.9637961895830358,0.6875392932329305
2023Q3,-2.170627858186322,0.6799369145260243,-0.4129479486125547
2023Q4,0.6250020345171379,1.547129243082509,0.3463952791084921
2024Q1,2.461662763535571,0.6345228320674323,-0.05681147265340769
